,,1,2,3,4,5
backprop,openACC,326033,332966,333282,332995,333356
backprop,Athread,73638,73739,72588,73622,72799
bfs,openACC,2286423,2139586,2286265,2286493,2175593
bfs,Athread,288521,287974,287906,287976,287845
hotspot3D,openACC,28995344,28454262,28646252,29002320,28241896
hotspot3D,Athread,1378661,1378727,1379103,1378710,1378539
kmeans,openACC,658267,658149,658415,658320,658314
kmeans,Athread,248588,248537,248163,248225,248269
pathfinder,openACC,6197591,6219162,6195104,5812469,6219532
pathfinder,Athread,8250,8221,8246,8216,8219
nw,openACC,410067,409917,409802,410069,409473
nw,Athread,63536,63929,63646,63765,63717
